ID,Country,Continent,LE,WellBeing,Footprint,HPI
109,Afghanistan,Asia,48.7,4.8,0.5,36.8
18,Albania,Europe,76.9,5.3,1.8,54.1
26,Algeria,Africa,73.1,5.2,1.6,52.2
127,Angola,Africa,51.1,4.2,0.9,33.2
17,Argentina,South America,75.9,6.4,2.7,54.1
53,Armenia,Europe,74.2,4.4,1.7,46
76,Australia,Ocenia,81.9,7.4,6.7,42
48,Austria,Europe,80.9,7.3,5.3,47.1
80,Azerbaijan,Europe,70.7,4.2,2,40.9
146,Bahrain,Asia,75.1,4.5,6.6,26.6
11,Bangladesh,Asia,68.9,5,0.7,56.3
103,Belarus,Europe,70.3,5.5,4,37.4
107,Belgium,Europe,80,6.9,7.1,37.1
4,Belize,Europe,76.1,6.5,2.1,59.3
132,Benin,Africa,56.1,3.7,1.4,31.1
64,Bolivia,South America,66.6,5.8,2.6,43.6
74,Bosnia and Herzegovina,Europe,75.7,4.7,2.7,42.4
151,Botswana,Africa,53.2,3.6,2.8,22.6
21,Brazil,South America,73.5,6.8,2.9,52.9
123,Bulgaria,Europe,73.4,4.2,3.6,34.1
129,Burkina Faso,Africa,55.4,4,1.5,31.8
135,Burundi,Africa,50.4,3.8,0.8,30.5
85,Cambodia,Asia,63.1,4.2,1.2,40.3
124,Cameroon,Africa,51.6,4.4,1.1,33.7
65,Canada,North America,81,7.7,6.4,43.6
148,Central African Republic,Africa,48.4,3.6,1.4,25.3
150,Chad,Africa,49.6,3.7,1.9,24.7
19,Chile,South America,79.1,6.6,3.2,53.9
60,China,Asia,73.5,4.7,2.1,44.7
3,Colombia,South America,73.7,6.4,1.8,59.8
112,Comoros,Africa,61.1,3.9,1.3,36.5
121,Congo,Africa,57.4,3.8,1.1,34.5
134,"Congo, Dem. Rep. of the",Africa,48.4,4,0.8,30.5
1,Costa Rica,South America,79.3,7.3,2.5,64
113,Cote d'Ivoire,Africa,55.4,4.2,1,35.9
82,Croatia,Europe,76.6,5.6,4.2,40.6
12,Cuba,South America,79.1,5.4,1.9,56.2
59,Cyprus,Europe,79.6,6.4,4.4,45.5
92,Czech Republic,Europe,77.7,6.2,5.3,39.4
110,Denmark,Europe,78.8,7.8,8.3,36.6
106,Djibouti,Africa,57.9,5,1.8,37.2
33,Dominican Republic,South America,73.4,4.7,1.4,50.7
23,Ecuador,South America,75.6,5.8,2.4,52.5
91,Egypt,Africa,73.2,3.9,2.1,39.6
5,El Salvador,South America,72.2,6.7,2,58.9
117,Estonia,Europe,74.8,5.1,4.7,34.9
94,Ethiopia,Africa,59.3,4.4,1.1,39.2
70,Finland,Europe,80,7.4,6.2,42.7
50,France,Europe,81.5,6.8,4.9,46.5
55,Georgia,Europe,73.7,4.1,1.4,46
46,Germany,Europe,80.4,6.7,4.6,47.2
86,Ghana,Africa,64.2,4.6,1.7,40.3
83,Greece,Europe,79.9,5.8,4.9,40.5
10,Guatemala,South America,71.2,6.3,1.8,56.9
137,Guinea,Africa,54.1,4,1.7,30
31,Guyana,South America,69.9,6,2.1,51.2
78,Haiti,North America,62.1,3.8,0.6,41.3
13,Honduras,South America,73.1,5.9,1.7,56
102,Hong Kong,Asia,82.8,5.6,5.8,37.5
104,Hungary,Europe,74.4,4.7,3.6,37.4
88,Iceland,Europe,81.8,6.9,6.5,40.2
32,India,Asia,65.4,5,0.9,50.9
14,Indonesia,Asia,69.4,5.5,1.1,55.5
77,Iran,Asia,73,4.8,2.7,41.7
36,Iraq,Asia,69,5,1.4,49.2
73,Ireland,Europe,80.6,7.3,6.2,42.4
15,Israel,Asia,81.6,7.4,4,55.2
51,Italy,Europe,81.9,6.4,4.5,46.4
6,Jamaica,North America,73.1,6.2,1.7,58.5
45,Japan,Asia,83.4,6.1,4.2,47.5
27,Jordan,Asia,73.4,5.7,2.1,51.7
119,Kazakhstan,Asia,67,5.5,4.1,34.7
98,Kenya,Africa,57.1,4.3,0.9,38
63,Korea,Asia,80.6,6.1,4.6,43.8
